interjection[key],positive,negative,sis,sentiment,replace-during-tokenize[flag]
woops,0,0,0,1,1
woot,1,0,0,0,1
word up,0,0,0,0,1
wotcher,0,0,0,0,1
wow,0,0,0,1,1
wuzzup,0,0,0,0,1
wye aye,0,0,0,0,1
ya,0,0,0,0,1
yabba dabba doo,0,0,0,0,1
yah boo,0,0,0,0,1
yar,0,0,0,0,1
yaroo,0,0,0,0,1
yarooh,0,0,0,0,1
yassuh,0,0,0,0,1
yay,0,0,0,0,1
yea,0,0,0,0,1
yeah,0,0,0,0,1
yeah right,0,0,0,0,1
"yeah, right",0,0,0,0,1
yecch,0,0,0,0,1
yech,0,0,0,0,1
yeeha,0,0,0,0,1
yeehaw,0,0,0,0,1
yeek,0,0,0,0,1
yeep,0,0,0,0,1
yeh,0,0,0,0,1
yes,0,0,0,0,1
yes way,1,0,0,0,1
yes'm,0,0,0,0,1
yesss,0,0,0,0,1
yiff,0,0,0,0,1
yikes,0,1,0,0,1
yipe,0,0,0,0,1
yippee,1,0,0,0,1
yo,0,0,0,0,1
yo mamma,0,0,0,0,1
yo momma,0,0,0,0,1
yo-ho-ho,0,0,0,0,1
yoicks,0,0,0,0,1
yoink,0,0,0,0,1
yoo hoo,1,0,0,0,1
yoohoo,1,0,0,0,1
yoo-hoo,1,0,0,0,1
you bet,1,0,0,0,1
you don't say,0,0,0,0,1
you know it,0,0,0,0,1
you know what,0,0,0,0,1
you knows it,0,0,0,0,1
youch,0,0,0,0,1
yow,0,0,0,0,1
yowzah,0,0,0,0,1
yuck,0,1,0,0,1
yuk,0,1,0,0,1
yum,1,0,0,0,1
yummo,0,0,0,0,1
yummy,1,0,0,0,1
'zackly,1,0,0,0,1
'zactly,1,0,0,0,1
zap,0,0,0,0,1
zindabad,0,0,0,0,1
zing,0,0,0,0,1
zip,0,0,0,0,1
zoinks,0,0,0,0,1
zomg,0,0,0,0,1
zounds,0,0,0,0,1
zowie,0,0,0,0,1
zzz,0,0,0,0,1
yup,0,0,0,0,1
thank you,0,0,0,0,1
good god,0,0,0,1,1
bog off,0,1,0,0,1
bring it on,0,0,0,0,1
buck up,0,0,0,0,1
bug off,0,1,0,0,1
chin up,0,0,0,0,1
come off it,0,0,0,0,1
come on down,0,0,0,0,1
be safe,1,0,0,0,1
